Age,EdLevel,Employment,WorkExp,YearsCode,DevType,OrgSize,ICorPM,RemoteWork,Industry,Country,CompTotal,LanguageHaveWorkedWith,DatabaseChoice,DatabaseHaveWorkedWith,ConvertedCompYearly,ConvertedCompYearly_w
35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,15.0,20.0,Data engineer,100 to 499 employees,Individual contributor,Remote,Fintech,Latvia,68000.0,Python;SQL,Yes,BigQuery;Microsoft SQL Server;PostgreSQL;Snowflake,78890.0,78890.0
45-54 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,20.0,20.0,Data scientist,"1,000 to 4,999 employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Other:,France,52000.0,Bash/Shell (all shells);Python;R,No,nan,60328.0,60328.0
45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,30.0,22.0,Data or business analyst,100 to 499 employees,Individual contributor,Remote,"Internet, Telecomm or Information Services",United States of America,170000.0,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL;VBA;Visual Basic (.Net),Yes,MariaDB;Microsoft SQL Server;MySQL;PostgreSQL;SQLite,170000.0,170000.0
18-24 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed,3.0,1.0,Data scientist,"10,000 or more employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Insurance,United States of America,43680.0,Java;PowerShell;Python,Yes,Databricks SQL,43680.0,43680.0
45-54 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,14.0,16.0,Data scientist,Less than 20 employees,Individual contributor,In-person,Media & Advertising Services,Taiwan,1300000.0,Python,Yes,BigQuery;Elasticsearch;MongoDB;MySQL;Redis;SQLite,44052.0,44052.0
25-34 years old,Some college/university study without earning a degree,Employed,6.0,6.0,Data engineer,100 to 499 employees,Individual contributor,In-person,Energy,United States of America,95000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL,Yes,MariaDB;MongoDB;MySQL;PostgreSQL,95000.0,95000.0
25-34 years old,Some college/university study without earning a degree,Employed,8.0,3.0,Data or business analyst,"10,000 or more employees",Individual contributor,In-person,"Transportation, or Supply Chain",United States of America,60000.0,Bash/Shell (all shells);C++;PowerShell;Python;SQL;VBA,Yes,Dynamodb;MySQL,60000.0,60000.0
25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,8.0,15.0,Data or business analyst,"1,000 to 4,999 employees",Individual contributor,In-person,Retail and Consumer Services,Canada,67000.0,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,Yes,MariaDB;MongoDB;SQLite,48882.0,48882.0
18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,3.0,5.0,Data engineer,"1,000 to 4,999 employees",Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Manufacturing,United States of America,105000.0,HTML/CSS;Java;JavaScript;Python;SQL,Yes,Dynamodb;Neo4J;Amazon Redshift,105000.0,105000.0
25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,3.0,12.0,Data engineer,100 to 499 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Fintech,Netherlands,60000.0,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Lua;Python;Rust;SQL,Yes,Snowflake;SQLite,69609.0,69609.0
35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",5.0,,Data scientist,"Just me - I am a freelancer, sole proprietor, etc.",Individual contributor,"Your choice (very flexible, you can come in when you want or just as needed)",Banking/Financial Services,Germany,1000.0,nan,Yes,Cloud Firestore;Datomic,1160.0,1160.0
35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,15.0,15.0,Data scientist,"1,000 to 4,999 employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Computer Systems Design and Services,France,40000.0,Bash/Shell (all shells);Java;PowerShell;Python;SQL,Yes,Elasticsearch;InfluxDB;MariaDB;PostgreSQL,46406.0,46406.0
25-34 years old,Some college/university study without earning a degree,Employed,7.0,15.0,Data or business analyst,100 to 499 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)","Transportation, or Supply Chain",Germany,55000.0,C#;HTML/CSS;JavaScript;PHP;Python,Yes,Microsoft SQL Server;MySQL,63808.0,63808.0
25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,3.0,3.0,Data or business analyst,"10,000 or more employees",Individual contributor,Remote,Banking/Financial Services,Spain,29500.0,HTML/CSS;JavaScript;Python;SQL;VBA,Yes,Databricks SQL;MySQL;Oracle,34224.0,34224.0
45-54 years old,Some college/university study without earning a degree,Employed,28.0,35.0,Data engineer,20 to 99 employees,Individual contributor,"Your choice (very flexible, you can come in when you want or just as needed)",Media & Advertising Services,Australia,182000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;Ruby;TypeScript,Yes,BigQuery;PostgreSQL,118317.0,118317.0
25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,10.0,15.0,Data engineer,20 to 99 employees,Individual contributor,Remote,Software Development,United States of America,200000.0,Bash/Shell (all shells);JavaScript;Python;SQL;TypeScript,Yes,Dynamodb;PostgreSQL;Snowflake;SQLite;Clickhouse,200000.0,200000.0
18-24 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,1.0,7.0,Data scientist,"5,000 to 9,999 employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Banking/Financial Services,France,46000.0,COBOL;Python;SQL,Yes,nan,53367.0,53367.0
25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,8.0,12.0,Data scientist,"10,000 or more employees",People manager,"Hybrid (some in-person, leans heavy to flexibility)",Manufacturing,Belgium,84000.0,Python;SQL,Yes,BigQuery;Dynamodb,97452.0,97452.0
35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Independent contractor, freelancer, or self-employed",17.0,25.0,Data engineer,nan,nan,nan,Software Development,Czech Republic,100000.0,Python,Yes,BigQuery;Cloud Firestore;PostgreSQL;SQLite,116015.0,116015.0
25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,1.0,12.0,Data scientist,500 to 999 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Other:,Denmark,432000.0,Bash/Shell (all shells);R,Yes,Microsoft SQL Server;Oracle;SQLite,67185.0,67185.0
25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,5.0,8.0,Data scientist,20 to 99 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Media & Advertising Services,Germany,62500.0,HTML/CSS;PowerShell;Python;R;SQL,Yes,MySQL;PostgreSQL,72509.0,72509.0
55-64 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",35.0,42.0,Data engineer,nan,nan,nan,Computer Systems Design and Services,United Kingdom of Great Britain and Northern Ireland,120000.0,C#;HTML/CSS;Java;JavaScript;SQL;VBA;Visual Basic (.Net),Yes,H2;Microsoft SQL Server;MySQL;Oracle;PostgreSQL;SQLite,163370.0,163370.0
25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,3.0,100.0,Data engineer,"10,000 or more employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Banking/Financial Services,Italy,38000.0,C++;Go;HTML/CSS;Python;TypeScript,Yes,BigQuery;Microsoft SQL Server;Oracle,44086.0,44086.0
35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,8.0,14.0,Data engineer,"1,000 to 4,999 employees",Individual contributor,Remote,"Transportation, or Supply Chain",United States of America,135000.0,C#;Go;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,Yes,DuckDB;Microsoft SQL Server;Redis;Snowflake;SQLite,135000.0,135000.0
35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,3.0,5.0,Data engineer,100 to 499 employees,Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,United Kingdom of Great Britain and Northern Ireland,44044.0,Python;TypeScript,Yes,Cassandra;Cosmos DB;PostgreSQL,59962.0,59962.0
25-34 years old,Some college/university study without earning a degree,Employed,8.0,10.0,Data engineer,500 to 999 employees,Individual contributor,Remote,Software Development,United States of America,110000.0,Bash/Shell (all shells);Python;Scala;SQL,Yes,Databricks SQL;MongoDB;PostgreSQL,110000.0,110000.0
35-44 years old,Some college/university study without earning a degree,Employed,3.0,25.0,Data scientist,"1,000 to 4,999 employees",Individual contributor,In-person,Government,Brazil,26000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;Lua;Python;SQL,Yes,SQLite,4733.0,4733.0
25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,5.0,8.0,Data or business analyst,"10,000 or more employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,India,800000.0,HTML/CSS;JavaScript;Python;SQL;TypeScript,Yes,nan,9299.0,9299.0
35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,5.0,10.0,Data scientist,"1,000 to 4,999 employees",Individual contributor,Remote,Retail and Consumer Services,Canada,80000.0,Python;R;SQL;VBA,Yes,MariaDB;Microsoft Access;Microsoft SQL Server,58367.0,58367.0
25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,8.0,10.0,Database administrator or engineer,100 to 499 employees,Individual contributor,"Your choice (very flexible, you can come in when you want or just as needed)",Software Development,Germany,120000.0,Bash/Shell (all shells);C++;Python;SQL,Yes,Cassandra;Elasticsearch;MySQL;PostgreSQL;SQLite;Clickhouse;Valkey,139218.0,139218.0
18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,1.0,7.0,Data scientist,"10,000 or more employees",Individual contributor,In-person,Fintech,India,1000000.0,C#;Python;SQL,Yes,Microsoft SQL Server;MySQL,11624.0,11624.0
35-44 years old,Some college/university study without earning a degree,Employed,7.0,7.0,Data engineer,"10,000 or more employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Banking/Financial Services,United States of America,105000.0,C#;HTML/CSS;JavaScript;Python;SQL;VBA;Visual Basic (.Net),Yes,IBM DB2;Microsoft Access;Microsoft SQL Server;Oracle,105000.0,105000.0
25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,9.0,15.0,Data engineer,100 to 499 employees,Individual contributor,In-person,Banking/Financial Services,United States of America,300000.0,Python,Yes,DuckDB;PostgreSQL,300000.0,300000.0
25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,7.0,11.0,Data engineer,"10,000 or more employees",Individual contributor,Remote,Insurance,United States of America,165000.0,Bash/Shell (all shells);Python;SQL,Yes,Databricks SQL;Microsoft SQL Server;SQLite,165000.0,165000.0
55-64 years old,"Associate degree (A.A., A.S., etc.)","Independent contractor, freelancer, or self-employed",30.0,32.0,Database administrator or engineer,nan,nan,nan,Government,Australia,261000.0,C#;PowerShell;SQL,Yes,Microsoft SQL Server,169674.0,169674.0
45-54 years old,Some college/university study without earning a degree,Not employed,23.0,28.0,Database administrator or engineer,100 to 499 employees,Individual contributor,Remote,Fintech,Argentina,40000000.0,C#;Dart;Python;SQL;Visual Basic (.Net),Yes,BigQuery;Databricks SQL;Microsoft Access;Microsoft SQL Server;MySQL;PostgreSQL;SQLite;Supabase;Amazon Redshift,34122.0,34122.0
45-54 years old,Some college/university study without earning a degree,"Independent contractor, freelancer, or self-employed",35.0,17.0,Data or business analyst,nan,nan,nan,Energy,United Kingdom of Great Britain and Northern Ireland,150000.0,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL;VBA;Visual Basic (.Net),Yes,Elasticsearch;Microsoft Access;Microsoft SQL Server;MySQL;Oracle;SQLite,204212.0,204212.0
25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Independent contractor, freelancer, or self-employed",13.0,11.0,Database administrator or engineer,"1,000 to 4,999 employees",Individual contributor,Remote,Software Development,Poland,240000.0,HTML/CSS;JavaScript;PowerShell;SQL,Yes,Oracle,65496.0,65496.0
25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,5.0,12.0,Data scientist,"1,000 to 4,999 employees",Individual contributor,"Your choice (very flexible, you can come in when you want or just as needed)",Software Development,France,34800.0,Python,No,nan,40373.0,40373.0
35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,14.0,16.0,Data engineer,"10,000 or more employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,India,2800000.0,Python;Scala;SQL,Yes,Databricks SQL;Microsoft SQL Server,32547.0,32547.0
25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,5.0,11.0,Data scientist,500 to 999 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Software Development,France,36000.0,Python;SQL,Yes,MySQL;PostgreSQL;Redis,41765.0,41765.0
18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,3.0,7.0,Data engineer,"1,000 to 4,999 employees",Individual contributor,"Your choice (very flexible, you can come in when you want or just as needed)",Software Development,Ukraine,50400.0,Bash/Shell (all shells);Groovy;Java;Python;Scala;SQL,Yes,Cassandra;Elasticsearch;InfluxDB;MongoDB;PostgreSQL;Redis;Snowflake,1208.0,1208.0
25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,10.0,12.0,Data scientist,"10,000 or more employees",Individual contributor,"Your choice (very flexible, you can come in when you want or just as needed)",Retail and Consumer Services,Germany,100000.0,PowerShell;Python;SQL,Yes,DuckDB;MongoDB;PostgreSQL;SQLite;Amazon Redshift,116015.0,116015.0
35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,14.0,14.0,Data engineer,"10,000 or more employees",People manager,"Hybrid (some in-person, leans heavy to flexibility)",Manufacturing,France,51000.0,HTML/CSS;Java;JavaScript;PowerShell;Python;SQL;VBA,Yes,BigQuery;Microsoft SQL Server;MySQL;PostgreSQL;Snowflake;SQLite,59167.0,59167.0
25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,,5.0,Data engineer,100 to 499 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Software Development,Norway,715000.0,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;Lua;PowerShell;Python;Scala;SQL,No,nan,70662.0,70662.0
18-24 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed,1.0,6.0,Database administrator or engineer,500 to 999 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Software Development,Germany,10200.0,Bash/Shell (all shells);HTML/CSS;JavaScript;Rust;SQL;TypeScript,Yes,MongoDB;Oracle;PostgreSQL;Redis;SQLite,11833.0,11833.0
25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,7.0,7.0,Data scientist,"10,000 or more employees",Individual contributor,Remote,Manufacturing,United States of America,138000.0,Python;SQL,Yes,Cosmos DB;Microsoft SQL Server;Snowflake,138000.0,138000.0
25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,8.0,4.0,Data or business analyst,500 to 999 employees,Individual contributor,Remote,Other:,Ukraine,30600.0,nan,Yes,BigQuery;MySQL;PostgreSQL;Clickhouse,30600.0,30600.0
25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,12.0,23.0,Data engineer,20 to 99 employees,Individual contributor,In-person,Banking/Financial Services,France,39000.0,Assembly;Bash/Shell (all shells);C#;GDScript;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL,Yes,Elasticsearch;MariaDB;Microsoft SQL Server;MySQL;PostgreSQL;Redis;SQLite,45246.0,45246.0
25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,5.0,7.0,Data scientist,20 to 99 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Insurance,United Kingdom of Great Britain and Northern Ireland,60000.0,Python;SQL,Yes,BigQuery;Databricks SQL,81685.0,81685.0
35-44 years old,Some college/university study without earning a degree,Employed,12.0,17.0,Data engineer,20 to 99 employees,Individual contributor,Remote,Software Development,Portugal,47000.0,Bash/Shell (all shells);Python;SQL,Yes,PostgreSQL;Snowflake;Amazon Redshift,54527.0,54527.0
45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,30.0,15.0,Data scientist,"1,000 to 4,999 employees",Individual contributor,Remote,Healthcare,United Kingdom of Great Britain and Northern Ireland,55000.0,Python;SQL,Yes,Microsoft SQL Server;PostgreSQL;Clickhouse,74878.0,74878.0
25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,6.0,15.0,Data engineer,"1,000 to 4,999 employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,France,65000.0,Bash/Shell (all shells);Go;Python;Scala,Yes,Clickhouse,75410.0,75410.0
35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,17.0,25.0,Data engineer,"10,000 or more employees",Individual contributor,Remote,Computer Systems Design and Services,Brazil,300000.0,nan,Yes,Cosmos DB;Databricks SQL;MongoDB,54611.0,54611.0
25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,9.0,3.0,Data or business analyst,"1,000 to 4,999 employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Media & Advertising Services,Ukraine,1000000.0,C#;HTML/CSS;JavaScript;Python;SQL,No,nan,23966.0,23966.0
35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,14.0,10.0,Data engineer,"10,000 or more employees",Individual contributor,"Your choice (very flexible, you can come in when you want or just as needed)",Manufacturing,United States of America,115000.0,Bash/Shell (all shells);Python;SQL,Yes,Microsoft SQL Server;MongoDB,115000.0,115000.0
35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,4.0,12.0,Data scientist,"10,000 or more employees",Individual contributor,Remote,Other:,United States of America,165000.0,Bash/Shell (all shells);HTML/CSS;Lisp;Python;R;SQL,Yes,BigQuery;Oracle;SQLite,165000.0,165000.0
25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,3.0,8.0,Data engineer,"1,000 to 4,999 employees",Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Energy,Denmark,550000.0,Bash/Shell (all shells);C++;F#;Fortran;Go;HTML/CSS;Java;JavaScript;Python;Rust;TypeScript;VBA,Yes,Elasticsearch;MongoDB;Oracle;PostgreSQL;SQLite;Supabase;Pocketbase,85536.0,85536.0
18-24 years old,Some college/university study without earning a degree,Not employed,1.0,1.0,Data engineer,nan,nan,nan,nan,Mexico,1.0,nan,nan,nan,1.0,65.0
35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,5.0,10.0,Data scientist,100 to 499 employees,Individual contributor,In-person,Other:,Denmark,300000.0,HTML/CSS;JavaScript;MATLAB;PowerShell;Python;SQL;TypeScript,Yes,MariaDB;Microsoft Access;Microsoft SQL Server;MongoDB;MySQL,46656.0,46656.0
35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,15.0,15.0,Data engineer,"10,000 or more employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,Uruguay,2000000.0,Kotlin;Python;SQL;TypeScript,Yes,BigQuery;Cloud Firestore;DuckDB;MongoDB;PostgreSQL;Redis,49338.0,49338.0
25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,5.0,8.0,Data engineer,Less than 20 employees,People manager,In-person,Retail and Consumer Services,Mexico,550000.0,Bash/Shell (all shells);JavaScript;Python;SQL;TypeScript,Yes,Microsoft SQL Server;PostgreSQL,28951.0,28951.0
45-54 years old,Some college/university study without earning a degree,"Independent contractor, freelancer, or self-employed",31.0,23.0,Data or business analyst,nan,nan,nan,Other:,Canada,30000.0,Assembly;Bash/Shell (all shells);C;Delphi;HTML/CSS;Java;Perl;PowerShell;Prolog;Python;Rust,Yes,DuckDB;Elasticsearch;MariaDB;Microsoft Access;PostgreSQL;SQLite,21888.0,21888.0
25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,5.0,12.0,Data engineer,20 to 99 employees,Individual contributor,"Your choice (very flexible, you can come in when you want or just as needed)",Other:,Italy,43500.0,C#;PowerShell;Python;SQL,Yes,Databricks SQL;Microsoft SQL Server;Redis;Supabase,50466.0,50466.0
25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,4.0,7.0,Data engineer,20 to 99 employees,Individual contributor,"Your choice (very flexible, you can come in when you want or just as needed)",Healthcare,Canada,112000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;OCaml;Python;SQL;TypeScript,Yes,Elasticsearch,81713.0,81713.0
35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,15.0,20.0,Data engineer,"10,000 or more employees",People manager,Remote,"Transportation, or Supply Chain",United States of America,320000.0,Bash/Shell (all shells);C;C#;C++;GDScript;Groovy;HTML/CSS;MicroPython;PowerShell;Python;Ruby;Rust;SQL,Yes,InfluxDB;Microsoft SQL Server;MongoDB;PostgreSQL;SQLite,320000.0,320000.0
35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,14.0,20.0,Database administrator or engineer,100 to 499 employees,Individual contributor,In-person,Computer Systems Design and Services,United States of America,250000.0,nan,Yes,Cockroachdb,250000.0,250000.0
25-34 years old,Other (please specify):,Not employed,,,Data engineer,nan,nan,nan,nan,Nigeria,15000.0,Ada;Assembly;Bash/Shell (all shells);C;C#;C++;COBOL;Dart;Delphi;Elixir;Erlang;F#;Fortran;Go;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Lisp;Lua;MATLAB;MicroPython;OCaml;Perl;PHP;PowerShell;Prolog;Python;R;Ruby;Rust;Scala;SQL;Swift;TypeScript;VBA;Visual Basic (.Net);Zig;Mojo;Gleam,Yes,BigQuery;Cassandra;Cloud Firestore;Cosmos DB,10.0,65.0
25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,10.0,20.0,Data scientist,"1,000 to 4,999 employees",Individual contributor,"Your choice (very flexible, you can come in when you want or just as needed)","Transportation, or Supply Chain",France,110000.0,Bash/Shell (all shells);C++;Go;HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,Yes,Cloud Firestore;Databricks SQL;PostgreSQL;Redis,127616.0,127616.0
35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,10.0,12.0,Data scientist,"10,000 or more employees",Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Other:,Denmark,1044000.0,R,Yes,nan,162363.0,162363.0
35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,12.0,30.0,Data engineer,"10,000 or more employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)","Internet, Telecomm or Information Services",Italy,42000.0,Bash/Shell (all shells);Go;JavaScript;Perl;PowerShell;Python;SQL,Yes,InfluxDB;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Neo4J;Oracle;PostgreSQL;Redis;SQLite;Clickhouse,48726.0,48726.0
25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,9.0,12.0,Data engineer,20 to 99 employees,Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)","Internet, Telecomm or Information Services",Germany,76500.0,Bash/Shell (all shells);C++;Go;Perl;Python;SQL,Yes,PostgreSQL;Clickhouse,88751.0,88751.0
25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,4.0,7.0,Data or business analyst,"1,000 to 4,999 employees",Individual contributor,In-person,Banking/Financial Services,Mozambique,700000.0,C#;Python;SQL,Yes,Microsoft Access;Microsoft SQL Server,10944.0,10944.0
25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,6.0,6.0,Data engineer,"5,000 to 9,999 employees",Individual contributor,Remote,Insurance,United Kingdom of Great Britain and Northern Ireland,75000.0,Lua;Python;R;Rust;Visual Basic (.Net),Yes,Databricks SQL;DuckDB;Microsoft Access;Microsoft SQL Server,102106.0,102106.0
35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,10.0,20.0,Data engineer,"1,000 to 4,999 employees",Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Other:,Hungary,11188700.0,Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;Python;SQL,Yes,MariaDB;Microsoft SQL Server,32354.0,32354.0
25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,6.0,9.0,Data engineer,"10,000 or more employees",Individual contributor,Remote,Banking/Financial Services,Poland,276000.0,Bash/Shell (all shells);JavaScript;PowerShell;Python,Yes,Elasticsearch;InfluxDB;MariaDB;Microsoft SQL Server;MongoDB;PostgreSQL;Snowflake;SQLite,75320.0,75320.0
25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,9.0,12.0,Data engineer,100 to 499 employees,Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)","Internet, Telecomm or Information Services",India,5900000.0,Java;Python,Yes,Elasticsearch;PostgreSQL;Redis;SQLite;Clickhouse,68581.0,68581.0
18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,2.0,7.0,Data or business analyst,20 to 99 employees,Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Energy,United States of America,40000.0,SQL,Yes,Microsoft SQL Server,40000.0,40000.0
25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,7.0,16.0,Data scientist,"10,000 or more employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Fintech,Switzerland,120000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;Python,No,nan,148791.0,148791.0
25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,7.0,18.0,Data scientist,100 to 499 employees,People manager,"Hybrid (some in-person, leans heavy to flexibility)",Retail and Consumer Services,Poland,460000.0,Bash/Shell (all shells);C;HTML/CSS;JavaScript;Lua;Python;Rust;SQL;TypeScript,Yes,BigQuery;Snowflake,125534.0,125534.0
25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,6.0,15.0,Data engineer,"5,000 to 9,999 employees",Individual contributor,Remote,Energy,Belgium,53000.0,Bash/Shell (all shells);PowerShell;Python;SQL,Yes,MariaDB;Microsoft Access;MySQL;PostgreSQL;SQLite,61488.0,61488.0
35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,13.0,25.0,Data scientist,"10,000 or more employees",Individual contributor,Remote,Software Development,Georgia,8000.0,C++;Python,Yes,Cosmos DB;MySQL;PostgreSQL,2941.0,2941.0
65 years or older,Other (please specify):,Retired,47.0,57.0,Data scientist,nan,nan,nan,nan,United Kingdom of Great Britain and Northern Ireland,36000.0,HTML/CSS;R,No,nan,49011.0,49011.0
